condition,wording,task,n,reference_class_count,accuracy,macro_f1_fixed_labels,balanced_accuracy_fixed_labels,invalid_answer_rate
image_only,heldout_paraphrase,q1,1597,1,0.0,0.0,0.0,1.0
image_only,heldout_paraphrase,q2,997,4,0.0010030090270812437,0.011627906976744186,0.005952380952380952,0.9939819458375125
image_only,heldout_paraphrase,q3,1597,1,0.0,0.0,0.0,1.0
image_only,heldout_paraphrase,q4.bleeding,1597,2,0.4596117720726362,0.44404970475634287,0.49848095649909496,0.003757044458359424
image_only,heldout_paraphrase,q4.smoke,1597,1,0.7476518472135254,0.42780365460408454,0.3738259236067627,0.003757044458359424
image_only,heldout_paraphrase,q4.occlusion,1597,2,0.7426424546023794,0.48352122087383875,0.5952663654512976,0.003757044458359424
image_only,heldout_paraphrase,q5,1597,2,0.0,0.0,0.0,1.0
image_only,heldout_paraphrase,q6,1597,2,0.7288666249217283,0.4370597650539405,0.4520502839079787,0.003757044458359424
image_only,heldout_paraphrase,q7,1597,2,0.25923606762680024,0.22198493767348845,0.4636513383665065,0.003757044458359424
image_only,heldout_paraphrase,q8.mask_center_5pct_v1,1597,2,0.4746399499060739,0.4755305415617128,0.6367805106523032,0.003757044458359424
image_only,heldout_paraphrase,q9,1597,1,0.0,0.0,0.0,1.0
image_question,canonical,q1,1597,1,1.0,1.0,1.0,0.0
image_question,canonical,q2,997,4,0.6960882647943831,0.31194677079248195,0.3459165590303127,0.0
image_question,canonical,q3,1597,1,1.0,1.0,1.0,0.0
image_question,canonical,q4.bleeding,1597,2,0.6117720726361928,0.6086341286028237,0.6127057942266703,0.0
image_question,canonical,q4.smoke,1597,1,0.9993738259236068,0.4998434074538052,0.4996869129618034,0.0
image_question,canonical,q4.occlusion,1597,2,0.9004383218534753,0.5141466382719805,0.5225753914048544,0.0
image_question,canonical,q5,1597,2,0.9148403256105198,0.4025315101012312,0.4040026227162996,0.0
image_question,canonical,q6,1597,2,0.9561678146524734,0.5158090783090783,0.5137124626821987,0.0
image_question,canonical,q7,1597,2,0.9511584220413275,0.6050338634807092,0.6137886067261497,0.0
image_question,canonical,q8.mask_center_5pct_v1,1597,2,0.8578584846587352,0.8228424934846106,0.8510344274677097,0.0
image_question,canonical,q9,1597,1,1.0,0.5,0.5,0.0
image_question,heldout_paraphrase,q1,1597,1,1.0,1.0,1.0,0.0
image_question,heldout_paraphrase,q2,997,4,0.6960882647943831,0.3006037116737373,0.33947437983042666,0.0
image_question,heldout_paraphrase,q3,1597,1,0.8509705698184096,0.9194857916102842,0.8509705698184096,0.14902943018159048
image_question,heldout_paraphrase,q4.bleeding,1597,2,0.617407639323732,0.6122605007722866,0.6143791532578259,0.0
image_question,heldout_paraphrase,q4.smoke,1597,1,0.9993738259236068,0.4998434074538052,0.4996869129618034,0.0
image_question,heldout_paraphrase,q4.occlusion,1597,2,0.8371947401377583,0.5069582977106488,0.5515866344436272,0.0
image_question,heldout_paraphrase,q5,1597,2,0.9135879774577332,0.40668308772525874,0.410609086122453,0.0
image_question,heldout_paraphrase,q6,1597,2,0.9524107701941139,0.5127970456005138,0.51178071767254,0.0
image_question,heldout_paraphrase,q7,1597,2,0.8879148403256105,0.5649183526550416,0.6740494166094715,0.0
image_question,heldout_paraphrase,q8.mask_center_5pct_v1,1597,2,0.8202880400751409,0.78958953940878,0.8431649303138093,0.0
image_question,heldout_paraphrase,q9,1597,1,0.1058234189104571,0.0956964892412231,0.05291170945522855,0.8941765810895429
image_question,wrong_question,q1,1597,1,0.0,0.0,0.0,1.0
image_question,wrong_question,q2,997,4,0.0,0.0,0.0,1.0
image_question,wrong_question,q3,1597,1,0.0,0.0,0.0,1.0
image_question,wrong_question,q4.bleeding,1597,2,0.4226675015654352,0.2979985506417224,0.5005417118093174,0.0
image_question,wrong_question,q4.smoke,1597,1,0.9304946775203506,0.4819980538436588,0.4652473387601753,0.0
image_question,wrong_question,q4.occlusion,1597,2,0.0,0.0,0.0,1.0
image_question,wrong_question,q5,1597,2,0.0,0.0,0.0,1.0
image_question,wrong_question,q6,1597,2,0.054477144646211645,0.054432283726386976,0.4475940993970614,0.0
image_question,wrong_question,q7,1597,2,0.6831559173450219,0.4361536743978342,0.527302676733013,0.0
image_question,wrong_question,q8.mask_center_5pct_v1,1597,2,0.0,0.0,0.0,1.0
image_question,wrong_question,q9,1597,1,0.0,0.0,0.0,1.0
question_only,canonical,q1,1597,1,1.0,1.0,1.0,0.0
question_only,canonical,q2,997,4,0.004012036108324975,0.001998001998001998,0.25,0.0
question_only,canonical,q3,1597,1,1.0,1.0,1.0,0.0
question_only,canonical,q4.bleeding,1597,2,0.42204132748904194,0.29678555702333775,0.5,0.0
question_only,canonical,q4.smoke,1597,1,1.0,0.5,0.5,0.0
question_only,canonical,q4.occlusion,1597,2,0.038822792736380715,0.037371910789632305,0.5,0.0
question_only,canonical,q5,1597,2,0.05572949279899812,0.03519177540529853,0.3333333333333333,0.0
question_only,canonical,q6,1597,2,0.9724483406386976,0.493015873015873,0.5,0.0
question_only,canonical,q7,1597,2,0.9705698184095178,0.4925325707022561,0.5,0.0
question_only,canonical,q8.mask_center_5pct_v1,1597,2,0.7532874139010645,0.42964285714285716,0.5,0.0
question_only,canonical,q9,1597,1,1.0,0.5,0.5,0.0
question_only,heldout_paraphrase,q1,1597,1,1.0,1.0,1.0,0.0
question_only,heldout_paraphrase,q2,997,4,0.004012036108324975,0.001998001998001998,0.25,0.0
question_only,heldout_paraphrase,q3,1597,1,1.0,1.0,1.0,0.0
question_only,heldout_paraphrase,q4.bleeding,1597,2,0.42204132748904194,0.29678555702333775,0.5,0.0
question_only,heldout_paraphrase,q4.smoke,1597,1,1.0,0.5,0.5,0.0
question_only,heldout_paraphrase,q4.occlusion,1597,2,0.038822792736380715,0.037371910789632305,0.5,0.0
question_only,heldout_paraphrase,q5,1597,2,0.05572949279899812,0.03519177540529853,0.3333333333333333,0.0
question_only,heldout_paraphrase,q6,1597,2,0.9724483406386976,0.493015873015873,0.5,0.0
question_only,heldout_paraphrase,q7,1597,2,0.9705698184095178,0.4925325707022561,0.5,0.0
question_only,heldout_paraphrase,q8.mask_center_5pct_v1,1597,2,0.7532874139010645,0.42964285714285716,0.5,0.0
question_only,heldout_paraphrase,q9,1597,1,1.0,0.5,0.5,0.0
