sample_id,record_id,machine_model,q1_value,q1_confidence,q2_value,q2_confidence,q3_value,q3_confidence,q5_value,q5_confidence,q6_value,q6_confidence,q7_value,q7_confidence,q8_value,q8_confidence,q9_value,q9_confidence,q4_bleeding,q4_smoke,q4_occlusion,q4_confidence
HR0011,site1/test/video9frame056,gpt-4o-mini,other abdominal procedure,0.7,small intestine,0.8,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,yes,no,no,0.8
HR0012,site1/test/video9frame110,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,no,no,no,0.9
HR0013,site1/test/video9frame114,gpt-4o-mini,other abdominal procedure,0.7,other abdominal soft tissue (peritoneum/mesentery/fat),0.8,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,no,no,no,0.9
HR0014,site1/test/video9frame175,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,no,no,no,0.9
HR0015,site1/test/video9frame215,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,no,no,no,0.9
HR0016,site1/test/video9frame247,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,no,no,no,0.9
HR0017,site1/test/video9frame283,gpt-4o-mini,other abdominal procedure,0.7,small intestine,0.8,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.6,none,0.9,no,no,no,0.9
HR0018,site1/train/video1frame011,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,no,no,no,0.9
HR0019,site1/train/video1frame032,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.8,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.9,none,0.9,no,no,no,0.9
HR0020,site1/train/video1frame065,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,no,no,no,0.9
HR0021,site1/train/video1frame106,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,no,no,yes,0.7
HR0022,site1/train/video1frame139,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,blurry,0.7,no,0.9,no,0.8,yes,0.7,none,0.9,no,no,yes,0.6
HR0023,site1/train/video1frame158,gpt-4o-mini,other abdominal procedure,0.7,other abdominal soft tissue (peritoneum/mesentery/fat),0.8,robotic camera,0.9,blurry,0.6,no,0.9,no,0.8,no,0.9,none,0.9,yes,no,no,0.8
HR0024,site1/train/video1frame162,gpt-4o-mini,other abdominal procedure,0.7,other abdominal soft tissue (peritoneum/mesentery/fat),0.8,robotic camera,0.9,blurry,0.7,no,0.9,no,0.8,yes,0.6,none,0.9,no,no,yes,0.6
HR0025,site1/train/video1frame164,gpt-4o-mini,other abdominal procedure,0.7,other abdominal soft tissue (peritoneum/mesentery/fat),0.8,robotic camera,0.9,blurry,0.7,yes,0.5,no,0.6,yes,0.7,none,0.9,yes,no,yes,0.6
HR0026,site1/train/video1frame166,gpt-4o-mini,other abdominal procedure,0.7,other abdominal soft tissue (peritoneum/mesentery/fat),0.8,robotic camera,0.9,blurry,0.7,yes,0.5,no,0.6,yes,0.7,none,0.9,no,no,yes,0.6
HR0027,site1/train/video1frame176,gpt-4o-mini,other abdominal procedure,0.7,small intestine,0.8,robotic camera,0.9,blurry,0.7,no,0.9,no,0.8,yes,0.6,none,0.9,yes,no,yes,0.6
HR0028,site1/train/video1frame181,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.9,none,0.9,yes,no,no,0.8
HR0029,site1/train/video1frame200,gpt-4o-mini,other abdominal procedure,0.7,small intestine,0.8,robotic camera,0.9,blurry,0.8,yes,0.5,no,0.7,yes,0.6,none,0.9,yes,no,yes,0.6
HR0030,site1/train/video1frame205,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,yes,no,no,0.8
HR0031,site1/train/video2frame005,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,no,no,no,0.9
HR0032,site1/train/video2frame045,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,yes,no,no,0.8
HR0033,site1/train/video2frame054,gpt-4o-mini,other abdominal procedure,0.7,other abdominal soft tissue (peritoneum/mesentery/fat),0.6,robotic camera,0.9,blurry,0.8,yes,0.5,no,0.6,yes,0.7,none,0.9,yes,no,yes,0.6
HR0034,site1/train/video2frame060,gpt-4o-mini,other abdominal procedure,0.7,other abdominal soft tissue (peritoneum/mesentery/fat),0.8,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,yes,0.6,none,0.9,yes,no,no,0.8
HR0035,site1/train/video2frame097,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.9,none,0.9,no,no,no,0.9
HR0036,site1/train/video2frame130,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,yes,no,no,0.8
HR0037,site1/train/video2frame158,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,no,no,no,0.9
HR0038,site1/train/video2frame182,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.9,none,0.9,yes,no,no,0.8
HR0039,site1/train/video2frame196,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,blurry,0.7,yes,0.5,no,0.6,yes,0.7,none,0.9,no,no,yes,0.6
HR0040,site1/train/video2frame203,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,yes,no,no,0.8
HR0041,site1/train/video3frame014,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.8,none,0.9,yes,no,no,0.8
HR0042,site1/train/video3frame037,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,yes,0.7,none,0.9,yes,no,no,0.8
HR0043,site1/train/video3frame074,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,yes,0.7,none,0.9,yes,no,no,0.8
HR0044,site1/train/video3frame104,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.8,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.9,none,0.9,yes,no,no,0.7
HR0045,site1/train/video3frame122,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,yes,0.7,none,0.9,yes,no,no,0.8
HR0046,site1/train/video3frame144,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,yes,no,no,0.8
HR0047,site1/train/video3frame196,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,no,no,no,0.9
HR0048,site1/train/video3frame216,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,yes,0.8,none,0.9,no,no,no,0.9
HR0049,site1/train/video4frame015,gpt-4o-mini,other abdominal procedure,0.7,other abdominal soft tissue (peritoneum/mesentery/fat),0.8,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,no,no,no,0.9
HR0050,site1/train/video4frame051,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,no,no,no,0.9
HR0051,site1/train/video4frame063,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,no,no,no,0.9
HR0052,site1/train/video4frame101,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,no,no,no,0.9
HR0053,site1/train/video4frame116,gpt-4o-mini,other abdominal procedure,0.7,other abdominal soft tissue (peritoneum/mesentery/fat),0.8,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,yes,no,no,0.8
HR0054,site1/train/video4frame154,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,no,no,no,0.9
HR0055,site1/train/video4frame192,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,yes,0.8,none,0.9,no,no,no,0.9
HR0056,site1/train/video4frame224,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,no,no,no,0.9
HR0057,site1/train/video5frame024,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,yes,0.7,none,0.9,yes,no,no,0.8
HR0058,site1/train/video5frame041,gpt-4o-mini,other abdominal procedure,0.6,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,yes,0.7,none,0.9,yes,no,no,0.8
HR0059,site1/train/video5frame059,gpt-4o-mini,other abdominal procedure,0.6,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,blurry,0.6,no,0.9,no,0.8,yes,0.7,none,0.9,yes,no,yes,0.8
HR0060,site1/train/video5frame060,gpt-4o-mini,nephrectomy (robot-assisted),0.8,kidney (parenchyma),0.7,robotic camera,0.9,mixed,0.6,no,0.9,no,0.8,yes,0.6,none,0.9,yes,no,yes,0.7
HR0061,site1/train/video5frame062,gpt-4o-mini,other abdominal procedure,0.6,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,blurry,0.6,no,0.9,no,0.7,yes,0.8,none,0.9,yes,no,yes,0.8
HR0062,site1/train/video5frame075,gpt-4o-mini,nephrectomy (robot-assisted),0.8,covered kidney (fat/fascia-covered kidney),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.8,none,0.9,yes,no,no,0.8
HR0063,site1/train/video5frame100,gpt-4o-mini,other abdominal procedure,0.9,small intestine,0.9,robotic camera,0.9,clear,0.8,no,0.9,yes,0.8,no,0.9,none,0.9,no,no,no,0.9
HR0064,site1/train/video5frame122,gpt-4o-mini,nephrectomy (robot-assisted),0.9,kidney (parenchyma),0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,yes,0.8,none,0.9,no,no,no,0.9
HR0065,site1/train/video5frame149,gpt-4o-mini,other abdominal procedure,0.7,other abdominal soft tissue (peritoneum/mesentery/fat),0.8,robotic camera,0.9,blurry,0.7,yes,0.5,no,0.6,yes,0.7,none,0.9,yes,no,yes,0.6
HR0066,site1/train/video5frame159,gpt-4o-mini,other abdominal procedure,0.7,other abdominal soft tissue (peritoneum/mesentery/fat),0.8,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,no,no,no,0.9
HR0067,site1/train/video5frame169,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.9,none,0.9,no,no,no,0.9
HR0068,site1/train/video5frame224,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,yes,no,no,0.8
HR0069,site1/train/video6frame003,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,blurry,0.6,yes,0.5,no,0.6,yes,0.8,none,0.9,yes,no,yes,0.7
HR0070,site1/train/video6frame017,gpt-4o-mini,renal/kidney-focused procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.6,none,0.9,no,no,no,0.9
HR0071,site1/train/video6frame056,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,yes,0.7,none,0.9,yes,no,no,0.8
HR0072,site1/train/video6frame082,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.9,none,0.9,yes,no,no,0.8
HR0073,site1/train/video6frame098,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.9,none,0.9,yes,no,no,0.8
HR0074,site1/train/video6frame127,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,yes,no,no,0.8
HR0075,site1/train/video6frame153,gpt-4o-mini,other abdominal procedure,0.6,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,yes,no,no,0.8
HR0076,site1/train/video6frame193,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,yes,0.7,none,0.9,yes,no,no,0.8
HR0077,site1/train/video6frame200,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,yes,no,no,0.8
HR0078,site1/train/video7frame011,gpt-4o-mini,renal/kidney-focused procedure,0.8,covered kidney (fat/fascia-covered kidney),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.9,none,0.9,yes,no,no,0.8
HR0079,site1/train/video7frame052,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,no,no,no,0.9
HR0080,site1/train/video7frame079,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.9,Unknown,0.1,blurry,0.7,no,0.9,yes,0.6,no,0.9,none,0.9,no,no,no,0.9
HR0081,site1/train/video7frame088,gpt-4o-mini,other abdominal procedure,0.9,other abdominal soft tissue (peritoneum/mesentery/fat),0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.9,none,0.9,no,no,no,0.9
HR0082,site1/train/video7frame097,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,blurry,0.6,no,0.9,no,0.8,yes,0.7,none,0.9,no,no,yes,0.7
HR0083,site1/train/video7frame107,gpt-4o-mini,other abdominal procedure,0.7,other abdominal soft tissue (peritoneum/mesentery/fat),0.8,robotic camera,0.9,blurry,0.7,yes,0.6,no,0.5,yes,0.7,none,0.9,no,no,yes,0.6
HR0084,site1/train/video7frame131,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.9,none,0.9,no,no,no,0.9
HR0085,site1/train/video7frame157,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.9,robotic camera,0.9,blurry,0.7,no,0.9,yes,0.6,no,0.9,none,0.9,no,no,no,0.9
HR0086,site1/train/video7frame178,gpt-4o-mini,other abdominal procedure,0.7,other abdominal soft tissue (peritoneum/mesentery/fat),0.8,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,no,no,no,0.9
HR0087,site1/train/video7frame216,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,no,no,no,0.9
HR0088,site1/train/video8frame017,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.9,none,0.9,no,no,no,0.9
HR0089,site1/train/video8frame036,gpt-4o-mini,other abdominal procedure,0.7,other abdominal soft tissue (peritoneum/mesentery/fat),0.8,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,no,no,no,0.9
HR0090,site1/train/video8frame057,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,no,no,no,0.9
HR0091,site1/train/video8frame090,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,no,no,no,0.9
HR0092,site1/train/video8frame117,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,yes,0.8,none,0.9,no,no,no,0.9
HR0093,site1/train/video8frame147,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.9,none,0.9,no,no,no,0.9
HR0094,site1/train/video8frame190,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.6,none,0.9,no,no,no,0.9
HR0095,site1/train/video8frame223,gpt-4o-mini,nephrectomy (robot-assisted),0.8,kidney (parenchyma),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,yes,0.7,none,0.9,yes,no,no,0.8
HR0096,site2/test/video1frame001,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,blurry,0.6,yes,0.5,no,0.8,yes,0.7,none,0.9,no,no,yes,0.7
HR0097,site2/test/video1frame012,gpt-4o-mini,nephrectomy (robot-assisted),0.8,kidney (parenchyma),0.7,robotic camera,0.9,blurry,0.6,yes,0.5,no,0.6,no,0.9,none,0.9,yes,no,no,0.8
HR0098,site2/test/video1frame024,gpt-4o-mini,other abdominal procedure,0.7,small intestine,0.8,robotic camera,0.9,blurry,0.7,yes,0.5,no,0.6,yes,0.7,none,0.9,no,no,yes,0.6
HR0099,site2/test/video1frame060,gpt-4o-mini,renal/kidney-focused procedure,0.8,covered kidney (fat/fascia-covered kidney),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,yes,0.8,none,0.9,no,no,no,0.9
HR0100,site2/test/video1frame078,gpt-4o-mini,renal/kidney-focused procedure,0.8,covered kidney (fat/fascia-covered kidney),0.7,robotic camera,0.9,blurry,0.7,yes,0.5,no,0.6,yes,0.7,none,0.9,no,no,yes,0.6
HR0101,site2/test/video1frame092,gpt-4o-mini,other abdominal procedure,0.7,other abdominal soft tissue (peritoneum/mesentery/fat),0.8,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.6,none,0.9,no,no,no,0.9
HR0102,site2/test/video1frame121,gpt-4o-mini,nephrectomy (robot-assisted),0.9,kidney (parenchyma),0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.8,none,0.9,yes,no,no,0.8
HR0103,site2/test/video1frame145,gpt-4o-mini,nephrectomy (robot-assisted),0.9,kidney (parenchyma),0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.9,none,0.9,yes,no,no,0.8
HR0104,site2/test/video1frame200,gpt-4o-mini,nephrectomy (robot-assisted),0.8,kidney (parenchyma),0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,yes,0.7,none,0.9,yes,no,no,0.8
HR0105,site2/test/video1frame236,gpt-4o-mini,nephrectomy (robot-assisted),0.9,kidney (parenchyma),0.8,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,yes,no,no,0.8
HR0106,site2/test/video2frame000,gpt-4o-mini,renal/kidney-focused procedure,0.8,covered kidney (fat/fascia-covered kidney),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.9,none,0.9,no,no,no,0.9
HR0107,site2/test/video2frame097,gpt-4o-mini,other abdominal procedure,0.6,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,yes,no,no,0.8
HR0108,site2/test/video2frame114,gpt-4o-mini,nephrectomy (robot-assisted),0.8,kidney (parenchyma),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,yes,no,no,0.8
HR0109,site2/test/video2frame135,gpt-4o-mini,other abdominal procedure,0.6,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,yes,0.7,none,0.9,yes,no,no,0.8
HR0110,site2/test/video2frame166,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,yes,no,no,0.8
HR0111,site2/test/video2frame239,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,no,no,no,0.9
HR0112,site2/test/video3frame004,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,yes,no,no,0.8
HR0113,site2/test/video3frame041,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.9,none,0.9,yes,no,no,0.8
HR0114,site2/test/video3frame063,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,no,no,no,0.9
HR0115,site2/test/video3frame091,gpt-4o-mini,other abdominal procedure,0.8,small intestine,0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,yes,no,no,0.8
HR0116,site2/test/video3frame111,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.7,robotic camera,0.9,clear,0.9,no,0.9,yes,0.8,no,0.9,none,0.9,yes,no,no,0.8
HR0117,site2/test/video3frame176,gpt-4o-mini,other abdominal procedure,0.8,other abdominal soft tissue (peritoneum/mesentery/fat),0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,no,0.8,none,0.9,yes,no,no,0.8
HR0118,site2/test/video3frame227,gpt-4o-mini,nephrectomy (robot-assisted),0.9,kidney (parenchyma),0.9,robotic camera,0.9,clear,0.9,no,0.9,yes,0.9,yes,0.7,none,0.9,yes,no,no,0.8
